r_m,z_m,phi_V,ne_m3,ni_m3
0.00104,0.01458,1.2070e+0,0.0000e+0,0.0000e+0
0.00313,0.01458,1.2054e+0,0.0000e+0,0.0000e+0
0.00521,0.01458,1.2024e+0,0.0000e+0,0.0000e+0
0.00729,0.01458,1.1979e+0,0.0000e+0,0.0000e+0
0.00937,0.01458,1.1920e+0,0.0000e+0,0.0000e+0
0.01146,0.01458,1.1847e+0,0.0000e+0,0.0000e+0
0.01354,0.01458,1.1763e+0,0.0000e+0,0.0000e+0
0.01563,0.01458,1.1670e+0,0.0000e+0,0.0000e+0
0.01771,0.01458,1.1571e+0,0.0000e+0,0.0000e+0
0.01979,0.01458,1.1468e+0,0.0000e+0,0.0000e+0
0.02187,0.01458,1.1364e+0,0.0000e+0,0.0000e+0
0.02396,0.01458,1.1258e+0,0.0000e+0,0.0000e+0
0.02604,0.01458,1.1142e+0,0.0000e+0,0.0000e+0
0.02813,0.01458,1.1013e+0,0.0000e+0,0.0000e+0
0.03021,0.01458,1.0865e+0,0.0000e+0,0.0000e+0
0.03229,0.01458,1.0695e+0,0.0000e+0,0.0000e+0
0.03438,0.01458,1.0499e+0,0.0000e+0,0.0000e+0
0.03646,0.01458,1.0270e+0,7.8026e+10,0.0000e+0
0.03854,0.01458,1.0058e+0,2.1874e+11,0.0000e+0
0.04063,0.01458,9.9585e-1,0.0000e+0,0.0000e+0
0.04271,0.01458,9.8155e-1,0.0000e+0,0.0000e+0
0.04479,0.01458,9.6402e-1,0.0000e+0,0.0000e+0
0.04688,0.01458,9.4389e-1,0.0000e+0,0.0000e+0
0.04896,0.01458,9.2153e-1,0.0000e+0,0.0000e+0
0.05104,0.01458,8.9719e-1,0.0000e+0,0.0000e+0
0.05312,0.01458,8.7100e-1,0.0000e+0,0.0000e+0
0.05521,0.01458,8.4310e-1,0.0000e+0,0.0000e+0
0.05729,0.01458,8.1353e-1,0.0000e+0,0.0000e+0
0.05937,0.01458,7.8238e-1,0.0000e+0,0.0000e+0
0.06146,0.01458,7.4965e-1,0.0000e+0,0.0000e+0
0.06354,0.01458,7.1538e-1,0.0000e+0,0.0000e+0
0.06563,0.01458,6.7961e-1,0.0000e+0,0.0000e+0
0.06771,0.01458,6.4246e-1,0.0000e+0,0.0000e+0
0.06979,0.01458,6.0417e-1,0.0000e+0,0.0000e+0
0.07187,0.01458,5.6537e-1,0.0000e+0,0.0000e+0
0.07396,0.01458,5.2692e-1,0.0000e+0,0.0000e+0
0.07604,0.01458,4.8778e-1,0.0000e+0,0.0000e+0
0.07813,0.01458,4.4765e-1,0.0000e+0,0.0000e+0
0.08021,0.01458,4.0652e-1,0.0000e+0,0.0000e+0
0.08229,0.01458,3.6454e-1,0.0000e+0,0.0000e+0
0.08438,0.01458,3.2189e-1,0.0000e+0,0.0000e+0
0.08646,0.01458,2.7878e-1,0.0000e+0,0.0000e+0
0.08854,0.01458,2.3540e-1,0.0000e+0,0.0000e+0
0.09062,0.01458,1.9194e-1,0.0000e+0,0.0000e+0
0.09271,0.01458,1.4857e-1,0.0000e+0,0.0000e+0
0.09479,0.01458,1.0545e-1,0.0000e+0,0.0000e+0
0.09688,0.01458,6.2755e-2,0.0000e+0,0.0000e+0
0.09896,0.01458,2.0659e-2,0.0000e+0,0.0000e+0
0.00104,0.01875,1.5740e+0,0.0000e+0,0.0000e+0
0.00313,0.01875,1.5721e+0,0.0000e+0,0.0000e+0
0.00521,0.01875,1.5681e+0,0.0000e+0,0.0000e+0
0.00729,0.01875,1.5622e+0,0.0000e+0,0.0000e+0
0.00937,0.01875,1.5545e+0,0.0000e+0,0.0000e+0
0.01146,0.01875,1.5449e+0,0.0000e+0,0.0000e+0
0.01354,0.01875,1.5335e+0,0.0000e+0,0.0000e+0
0.01563,0.01875,1.5204e+0,0.0000e+0,0.0000e+0
0.01771,0.01875,1.5059e+0,0.0000e+0,0.0000e+0
0.01979,0.01875,1.4907e+0,0.0000e+0,0.0000e+0
0.02187,0.01875,1.4765e+0,0.0000e+0,0.0000e+0
0.02396,0.01875,1.4644e+0,0.0000e+0,0.0000e+0
0.02604,0.01875,1.4512e+0,0.0000e+0,0.0000e+0
0.02813,0.01875,1.4359e+0,0.0000e+0,0.0000e+0
0.03021,0.01875,1.4181e+0,0.0000e+0,0.0000e+0
0.03229,0.01875,1.3976e+0,0.0000e+0,0.0000e+0
0.03438,0.01875,1.3740e+0,0.0000e+0,0.0000e+0
0.03646,0.01875,1.3468e+0,7.6949e+10,0.0000e+0
0.03854,0.01875,1.3208e+0,2.1572e+11,0.0000e+0
0.04063,0.01875,1.3051e+0,0.0000e+0,0.0000e+0
0.04271,0.01875,1.2849e+0,0.0000e+0,0.0000e+0
0.04479,0.01875,1.2610e+0,0.0000e+0,0.0000e+0
0.04688,0.01875,1.2342e+0,0.0000e+0,0.0000e+0
0.04896,0.01875,1.2047e+0,0.0000e+0,0.0000e+0
0.05104,0.01875,1.1729e+0,0.0000e+0,0.0000e+0
0.05312,0.01875,1.1388e+0,0.0000e+0,0.0000e+0
0.05521,0.01875,1.1026e+0,0.0000e+0,0.0000e+0
0.05729,0.01875,1.0644e+0,0.0000e+0,0.0000e+0
0.05937,0.01875,1.0241e+0,0.0000e+0,0.0000e+0
0.06146,0.01875,9.8172e-1,0.0000e+0,0.0000e+0
0.06354,0.01875,9.3724e-1,0.0000e+0,0.0000e+0
0.06563,0.01875,8.9050e-1,0.0000e+0,0.0000e+0
