r_m,z_m,phi_V,ne_m3,ni_m3
0.07604,0.03125,8.7027e-1,1.0047e+11,1.8383e+11
0.07813,0.03125,8.1632e-1,1.0338e+11,1.8824e+11
0.08021,0.03125,7.5867e-1,1.1145e+11,2.4233e+11
0.08229,0.03125,6.9468e-1,1.1976e+11,1.7907e+11
0.08438,0.03125,6.2932e-1,1.0791e+11,1.8642e+11
0.08646,0.03125,5.6124e-1,9.6999e+10,1.8824e+11
0.08854,0.03125,4.8927e-1,8.3618e+10,1.6813e+11
0.09062,0.03125,4.1342e-1,6.0419e+10,1.5283e+11
0.09271,0.03125,3.3248e-1,2.9176e+10,1.2397e+11
0.09479,0.03125,2.4578e-1,1.1035e+10,1.1623e+11
0.09688,0.03125,1.5224e-1,2.1497e+9,1.0501e+11
0.09896,0.03125,5.2086e-2,4.2387e+8,7.2335e+10
0.00104,0.03542,2.0333e+0,3.3684e+10,0.0000e+0
0.00313,0.03542,2.0354e+0,3.5530e+10,0.0000e+0
0.00521,0.03542,2.0397e+0,3.7779e+10,0.0000e+0
0.00729,0.03542,2.0461e+0,4.3829e+10,1.7176e+10
0.00937,0.03542,2.0536e+0,4.8201e+10,8.9473e+10
0.01146,0.03542,2.0570e+0,5.7447e+10,1.5004e+11
0.01354,0.03542,2.0546e+0,6.0916e+10,1.8552e+11
0.01563,0.03542,2.0473e+0,7.2637e+10,1.8109e+11
0.01771,0.03542,2.0377e+0,7.1392e+10,2.1195e+11
0.01979,0.03542,2.0232e+0,6.8690e+10,1.2231e+11
0.02187,0.03542,2.0102e+0,8.4191e+10,1.9026e+11
0.02396,0.03542,1.9955e+0,8.8763e+10,2.8530e+11
0.02604,0.03542,1.9731e+0,8.1230e+10,2.6655e+11
0.02813,0.03542,1.9446e+0,8.2850e+10,2.8257e+11
0.03021,0.03542,1.9096e+0,7.8519e+10,1.9915e+11
0.03229,0.03542,1.8718e+0,8.6486e+10,2.2781e+11
0.03438,0.03542,1.8294e+0,8.9787e+10,1.0766e+11
0.03646,0.03542,1.7906e+0,9.7189e+10,1.0270e+11
